sim	node	label	bl.subs	bl.coal	sim.theta	est.theta
A	<1>	taeGut-aptFor	0.04155687	0.5062437142608788	0.04578784	0.16417732735970253
A	<2>	aptHaa-aptOwe	0.00305054	0.6438650921369262	0.006321079	0.009475711720526893
A	<5>	cryCin-tinGut	0.0172068	0.4082675387138664	0.037018559	0.08429178599016346
A	<6>	eudEle-notPer	0.0079941	0.10896013189401736	0.057911894	0.1467344038785792
A	<8>	aptHaa-aptRow	0.0277496	1.9415100742629496	0.019876606	0.028585584352977932
A	<3>	casCas-droNov	0.0273773	0.87140644334502	0.029694415	0.06283474309624855
A	<9>	cryCin-eudEle	0.0672093	0.624651945311181	0.095580579	0.2151895963968176
A	<10>	aptHaa-casCas	0.0028599	0.0	0.086448824	NA
A	<4>	rheAme-rhePen	0.0566382	2.9176049083545275	0.027801219	0.0388251334769949
A	<12>	aptHaa-rheAme	0.00185668	0.05428283323591669	0.058734321	0.06840763052771211
A	<11>	cryCin-anoDid	0.0253604	0.2830729524325247	0.053495448	0.17917925242995503
A	<13>	aptHaa-cryCin	0.0118742	0.0765602685777151	0.064943475	0.3101922242591584
A	<7>	taeGut-galGal	0.0406841	1.2110458523279952	0.04578784	0.06718837263146213
A	<14>	aptHaa-strCam	0.0406969	1.2110458523279952	0.011627686	0.06720951138516892
